time,x,y,yaw,x_vel,y_vel,yaw_rate,cmd_angle,cmd_speed,x_ref,y_ref,yaw_ref,x_vel_ref,y_vel_ref,yaw_rate_ref
1755748495.956681,-0.7236850131512426,-1.6682172700344515,-2.3010998,-0.0006436067287204118,0.002483434977442133,0.0070813396,0.24328613,0.3503418,-0.7236892,-1.6682973,-2.3009522,-0.027502092,-0.030721795,0.027488936
1755748495.966696,-0.723673444068587,-1.6682245109099278,-2.301126,0.0011454664477232948,-0.0007169263248628332,-0.0025966668,0.15185547,0.51660156,-0.75076556,-1.699393,-2.2734632,-0.0266473,-0.031466097,0.027488936
1755748496.0179076,-0.7237427055733103,-1.6683523689766528,-2.300456,-0.006697807960705731,-0.009178930056953857,0.05326309,0.13293457,0.70410156,-0.7769772,-1.7312216,-2.245974,-0.02577237,-0.032186624,0.027488936
1755748496.0668647,-0.7242454934357451,-1.6690625266327888,-2.3004842,-0.017115157949488695,-0.022312633363399254,-0.012213377,0.10571289,0.88183594,-0.8023039,-1.7637583,-2.218485,-0.024877967,-0.032882832,0.027488936
1755748496.117089,-0.7254075139358923,-1.6709508360855712,-2.2994828,-0.0378473224832626,-0.06543090929424306,0.057843417,0.07159424,1.0800781,-0.8267268,-1.796979,-2.1909964,-0.02396477,-0.03355419,0.027488936
1755748496.1669908,-0.7280931548099447,-1.674521940383552,-2.2992525,-0.08793725203404255,-0.10120355497530985,-0.114124596,0.07281494,1.2919922,-0.85022736,-1.8308582,-2.1635075,-0.023033462,-0.034200195,0.027488936
1755748496.2171295,-0.7376135764816966,-1.6854455254590375,-2.2963443,-0.19654603636233453,-0.2511118141940764,0.023239167,0.027435303,1.4541016,-0.87278795,-1.8653708,-2.1360185,-0.022084752,-0.03482036,0.027488936
1755748496.2669516,-0.750118199401352,-1.70226691183193,-2.2954524,-0.29394402005188225,-0.39218735976842956,0.043568213,-0.041107178,1.4912109,-0.8943914,-1.9004903,-2.1085296,-0.021119352,-0.03541422,0.027488936
1755748496.3174543,-0.7676825019070728,-1.7257788590836272,-2.2916615,-0.3896720640717104,-0.5339839951314315,0.033386447,-0.028900146,1.4707031,-0.9150213,-1.9361902,-2.0810406,-0.020137997,-0.035981312,0.027488936
1755748496.3673558,-0.784789235950604,-1.7490274702346273,-2.2901344,-0.4672045320145302,-0.6025403142807472,0.063627124,0.043823242,1.2138672,-0.9346622,-1.9724438,-2.0535517,-0.019141426,-0.03652122,0.027488936
1755748496.4175017,-0.8166161588830239,-1.79010537982588,-2.285948,-0.5832543666242256,-0.7485360855627905,0.082880035,0.13012695,0.96728516,-0.9532993,-2.0092235,-2.0260627,-0.018130392,-0.03703353,0.027488936
1755748496.4672468,-0.8461083869083134,-1.8294211167072416,-2.2835479,-0.6141809197592037,-0.8157732588013864,-0.055730153,0.26660156,0.70751953,-0.9709183,-2.0465012,-1.998574,-0.017105665,-0.03751786,0.027488936
1755748496.517541,-0.87118156914338,-1.8634625481475635,-2.2799525,-0.6278444427909716,-0.8457819981708178,0.06565324,0.33398438,0.53466797,-0.9875064,-2.0842497,-1.9710848,-0.016067998,-0.037973847,0.027488936
1755748496.5668936,-0.9034334897531897,-1.9077041105651922,-2.2756703,-0.6529649406598584,-0.8922968252746236,0.27778435,0.3479004,0.42407227,-1.0030503,-2.1224394,-1.9435961,-0.015018208,-0.038401134,0.027488936
1755748496.6171308,-0.9337605084935666,-1.953023941239621,-2.243132,-0.5540686810997266,-0.9533891169442494,0.9543582,0.35253906,0.3425293,-1.0175388,-2.1610422,-1.9161072,-0.013957059,-0.03879941,0.027488936
1755748496.6669831,-0.956314258245686,-2.000770175958071,-2.1874232,-0.42457511832089634,-0.9459286360995929,1.234945,0.35473633,0.13061523,-1.0309609,-2.2000284,-1.8886182,-0.012885366,-0.03916837,0.027488936
1755748496.7169528,-0.9741430358275077,-2.047929349223385,-2.1200824,-0.3248066254170083,-0.901679261916881,1.3360604,0.34326172,-0.019195557,-1.0433064,-2.239369,-1.8611293,-0.011803936,-0.03950773,0.027488936
1755748496.7671387,-0.9888584970971642,-2.0977703414503144,-2.057445,-0.19380257369614856,-0.7717828510847479,1.0361793,0.3544922,0.06567383,-1.0545659,-2.2790341,-1.8336403,-0.0107135875,-0.039817244,0.027488936
1755748496.8167326,-0.9966885184831709,-2.1328442150574336,-2.007488,-0.1311344610649293,-0.6842818963143349,0.9842439,0.3564453,0.22766113,-1.0647308,-2.3189936,-1.8061514,-0.009615144,-0.040096667,0.027488936
1755748496.86701,-1.0010748412092891,-2.1586148074471407,-1.9729005,-0.08656191017890388,-0.6219485463086102,0.8003604,0.35253906,0.37109375,-1.0737936,-2.3592172,-1.7786624,-0.008509435,-0.040345795,0.027488936
1755748496.9171941,-1.0048803675052929,-2.186417788718218,-1.9323506,-0.0858575571238577,-0.5186841470315013,0.7209698,0.34375,0.69091797,-1.0817475,-2.399675,-1.7511735,-0.0073972964,-0.04056444,0.027488936
1755748496.9669306,-1.007029603351148,-2.20968294698589,-1.8989826,-0.023581116622905365,-0.4376921816293222,0.5851367,0.3154297,0.93408203,-1.0885864,-2.440336,-1.7236845,-0.006279568,-0.040752433,0.027488936
