time,x,y,yaw,x_vel,y_vel,yaw_rate,cmd_angle,cmd_speed,x_ref,y_ref,yaw_ref,x_vel_ref,y_vel_ref,yaw_rate_ref
1755748688.1197553,0.6579548076152874,-3.952502556950315,0.12958337,0.0018609697314535024,-0.0009333831531882084,0.009633912,-0.26147068,1.460295,0.6580071,-3.9524791,0.12952957,0.04088798,0.005326022,0.027488936
1755748688.12843,0.6579346198961814,-3.952506380206969,0.1297422,-0.002024759822017432,-0.0003834596876210093,0.015925776,-0.016817236,1.0947391,0.6988168,-3.9465919,0.1570185,0.040726148,0.006447836,0.027488936
1755748688.179768,0.6579278616918437,-3.9524902482359883,0.12942076,-0.0004481962805426764,6.961511863518051e-05,-0.03327066,0.050009012,0.7702864,0.73944914,-3.9395852,0.18450744,0.04053354,0.007564778,0.027488936
1755748688.2292829,0.6585105491712393,-3.952418966904257,0.12966019,0.019390042744172824,0.010267304787983315,0.040693525,0.07320579,0.66318125,0.7798736,-3.9314642,0.21199639,0.040310305,0.008676004,0.027488936
1755748688.2792387,0.6611635448619229,-3.951995532855984,0.12964924,0.0803289274710035,0.006735326978620599,0.029012524,0.111856155,0.6011609,0.82005966,-3.9222353,0.23948532,0.040056612,0.009780674,0.027488936
1755748688.3292654,0.6673812125272592,-3.9509217144148723,0.1295451,0.173698675611376,0.02274843297079245,-0.099038325,0.08022363,0.6370403,0.8599769,-3.9119053,0.2669743,0.039772652,0.010877956,0.027488936
1755748688.3803306,0.6780909000797654,-3.9479817779110786,0.1323809,0.2568253187172125,0.06892114646732632,0.062266063,0.043294992,0.72652185,0.899595,-3.9004822,0.29446325,0.03945864,0.011967016,0.027488936
1755748688.429671,0.6949139716728961,-3.944216845786269,0.13401407,0.3747015880713413,0.0853347209450302,-0.047127955,0.059297185,0.8095524,0.938884,-3.8879743,0.3219521,0.039114814,0.013047031,0.027488936
1755748688.4810102,0.7173805485874877,-3.938907735839736,0.13936538,0.48882243054720076,0.11407451186228713,0.24098179,0.07179198,0.9166827,0.9778146,-3.8743913,0.34944102,0.038741432,0.014117191,0.027488936
1755748688.5299566,0.7455021684027566,-3.93270456599794,0.14643776,0.6012957226852749,0.1569336709115363,0.09457435,0.09440508,0.87153023,1.0163572,-3.8597436,0.37692994,0.03833878,0.015176684,0.027488936
1755748688.579566,0.772391814971382,-3.926724877370194,0.15291157,0.6859237070733636,0.16284982477543863,0.2674035,0.102213435,0.9348411,1.0544826,-3.8440418,0.40441892,0.037907157,0.01622471,0.027488936
1755748688.6291063,0.8182856162948702,-3.9157151410827806,0.15721081,0.8269155154449417,0.17825264408956654,0.10743997,0.16071188,0.89085907,1.0921619,-3.8272982,0.4319078,0.037446894,0.017260477,0.027488936
1755748688.6800127,0.8518056902958168,-3.906583185017688,0.16056412,0.8636389877346291,0.245008591485485,-0.0043090107,0.12254414,0.8844618,1.1293669,-3.809525,0.45939684,0.03695833,0.018283203,0.027488936
1755748688.7333143,0.9067382151911798,-3.8923512489844074,0.16870482,0.9454099190021639,0.25478166789347584,0.09707614,0.17714508,0.8050118,1.1660693,-3.7907362,0.48688576,0.036441848,0.019292112,0.027488936
1755748688.7807117,0.9445419096109604,-3.8814992856869983,0.17926265,0.9779843864069513,0.2843748809447304,0.17989904,0.21150686,0.79651386,1.2022414,-3.7709458,0.5143746,0.035897825,0.020286445,0.027488936
1755748688.8300629,1.0026105450973575,-3.863628569382615,0.19729057,0.9599916452229039,0.327962274802093,0.3507165,0.24160808,0.7732925,1.2378557,-3.7501688,0.5418635,0.035326682,0.021265445,0.027488936
1755748688.8801155,1.0503975962946543,-3.8474609791977628,0.22191775,0.9423020583707327,0.3227811506580454,0.5907208,0.25270146,0.85986936,1.2728858,-3.7284203,0.56935245,0.034728844,0.022228383,0.027488936
1755748688.9298687,1.0963328667458878,-3.8283627873243367,0.2563544,0.8986251882154219,0.38887173368850264,0.78495187,0.21810491,0.8631935,1.3073049,-3.7057176,0.59684145,0.03410477,0.023174528,0.027488936
1755748688.9797027,1.139468640447899,-3.8066008555659265,0.2975797,0.8658147326105463,0.4435849581420984,0.88969505,0.1884323,0.87011236,1.3410867,-3.6820772,0.62433034,0.03345492,0.024103155,0.027488936
1755748689.0299037,1.180344361877914,-3.783195443912731,0.34037197,0.77480494729104,0.4747323555881672,0.88118184,0.17150392,0.8876587,1.3742063,-3.6575172,0.6518193,0.032779794,0.025013573,0.027488936
1755748689.0798843,1.218889570351667,-3.759600084357887,0.38248312,0.7511098422735538,0.47991048061048774,0.8057285,0.15221561,0.9727061,1.4066381,-3.6320562,0.6793083,0.032079898,0.025905093,0.027488936
1755748689.1297877,1.2550530758853076,-3.7343131259674363,0.42255324,0.6975535492414462,0.5066519205162596,0.7385226,0.14599393,1.063087,1.438358,-3.6057136,0.7067972,0.031355765,0.026777036,0.027488936
1755748689.179573,1.2892169663630815,-3.709198811438765,0.45892188,0.6744807619456896,0.5199848208251385,0.69714695,0.11392055,1.2615021,1.4693418,-3.5785089,0.73428607,0.030607942,0.02762875,0.027488936
1755748689.2296498,1.3216958720107865,-3.6834179810162264,0.49647194,0.6316859963289126,0.5174501578827776,0.7838956,0.14573747,1.4429368,1.4995661,-3.550463,0.76177514,0.029836988,0.028459586,0.027488936
1755748689.2801204,1.3527472840000643,-3.6568466749631163,0.53217053,0.604026204974634,0.5250619062509261,0.76717323,0.23639698,1.4548919,1.5290084,-3.521597,0.7892641,0.029043488,0.029268919,0.027488936
1755748689.3304832,1.3830400466707407,-3.6301647931634693,0.56721795,0.5968416574705862,0.5652867472325134,0.8001065,0.32278517,1.2788463,1.5576458,-3.4919324,0.816753,0.028228048,0.030056134,0.027488936
1755748689.3801968,1.4112388552640274,-3.601855578704942,0.60040003,0.5643532761867035,0.5664834927973459,0.60370314,0.36614785,0.9997614,1.5854571,-3.4614923,0.84424186,0.027391275,0.030820638,0.027488936
1755748689.4302104,1.438880924233752,-3.5725275964723147,0.63955986,0.5345011775540885,0.6113022715151903,0.7796789,0.37111306,0.5699087,1.6124215,-3.4302988,0.87173086,0.026533807,0.03156186,0.027488936
1755748689.4801314,1.4633087537418827,-3.540739893053022,0.68957186,0.4634058406483485,0.6401419059755928,0.9173947,0.36940408,-0.005254871,1.6385181,-3.3983765,0.89921975,0.02565629,0.032279227,0.027488936
1755748689.5308185,1.4850264250556429,-3.506683470203012,0.7466229,0.3941869046063812,0.672366599797029,1.0352654,0.36472648,-0.62720126,1.6637275,-3.3657486,0.9267088,0.024759386,0.03297221,0.027488936
1755748689.5803368,1.500118412106489,-3.479007288592837,0.79319024,0.3859755874478455,0.6816778719318513,1.229948,0.36621487,-0.9454644,1.6880307,-3.3324404,0.95419765,0.023843776,0.033640273,0.027488936
1755748689.6304958,1.516446205645393,-3.4457129206588886,0.8447317,0.30211818791289247,0.6591689818115287,0.8905119,0.36937994,-1.1025538,1.7114091,-3.2984767,0.9816866,0.02291015,0.034282923,0.027488936
1755748689.6800804,1.5316446060999336,-3.409721277652464,0.89953035,0.23485394327462508,0.5547091141918029,0.7698798,0.3648058,-1.0663896,1.7338452,-3.263883,1.0091755,0.02195921,0.034899667,0.027488936
1755748689.7298715,1.538431532397422,-3.388369924153361,0.93432933,0.14619114824754692,0.5186023353371535,0.8664259,0.36268473,-1.0209881,1.755322,-3.228686,1.0366645,0.020991681,0.035490043,0.027488936
1755748689.779957,1.5469024381737073,-3.3608273431810507,0.97957796,0.12956401861114655,0.4307996544290235,0.6593692,0.3327366,-0.98619825,1.7758234,-3.1929119,1.0641534,0.020008288,0.0360536,0.027488936
1755748689.8300972,1.55187085858324,-3.341563387793309,1.0122235,0.08543205219603511,0.3695835384823445,0.5938792,0.32155845,-0.84308934,1.7953334,-3.156588,1.0916424,0.019009782,0.036589917,0.027488936
1755748689.8798015,1.5548831489984105,-3.3269577417216025,1.0354983,0.04102291941319709,0.24098441962076037,0.30535093,0.25885364,-0.4387106,1.813838,-3.1197414,1.1191313,0.01799691,0.037098587,0.027488936
1755748689.9300828,1.5567752580667036,-3.319497179755388,1.0456653,0.018517855385387572,0.10947798062620119,0.09336364,0.002190085,0.9857049,1.8313229,-3.0824,1.1466203,0.016970435,0.037579224,0.027488936
1755748689.9792674,1.5572938068897468,-3.316041945801536,1.0522766,-0.006356722531777034,0.02448404008829433,-0.12005811,-0.15775764,2.2934544,1.8477745,-3.0445924,1.1741091,0.015931144,0.038031466,0.027488936
1755748690.029782,1.5558400672031194,-3.322720890228888,1.0433838,-0.045681267070384036,-0.17340742770212095,-0.19787244,-0.011139356,2.4808598,1.8631811,-3.0063467,1.201598,0.014879812,0.038454972,0.027488936
1755748690.0803354,1.552783102004417,-3.3355710797646916,1.022119,-0.07301462136491602,-0.30946354794086345,-0.46732587,0.23800069,2.4742348,1.8775306,-2.9676921,1.229087,0.013817237,0.038849425,0.027488936
1755748690.1298978,1.5490891325469067,-3.349814554338113,0.99961674,-0.11414013519649364,-0.37702213421326536,-0.60854,0.36318776,2.4827716,1.8908122,-2.9286578,1.256576,0.012744222,0.03921452,0.027488936
