time,x,y,yaw,x_vel,y_vel,yaw_rate,cmd_angle,cmd_speed,x_ref,y_ref,yaw_ref,x_vel_ref,y_vel_ref,yaw_rate_ref
1755748880.4001644,1.7343553416204418,-3.1345511253320297,0.46941423,0.0008772860870282497,0.0014522167747781207,-0.026475165,-0.086817935,1.4448605,1.7343566,-3.1345444,0.46939635,0.036773663,0.018651849,0.027488936
1755748880.4097981,1.7343601769723296,-3.1345585354954464,0.4694303,0.0004815951691753596,-0.0007380432669815713,0.0015909955,-0.020299798,1.302786,1.7708693,-3.1153893,0.49688524,0.036247116,0.019655542,0.027488936
1755748880.4600701,1.7343573807518493,-3.1345561550959005,0.46946228,0.001677619123575682,-0.0010532875947500025,-0.0073280986,-0.016560653,1.1951948,1.8068417,-3.0952382,0.5243742,0.03569318,0.020644385,0.027488936
1755748880.5107415,1.7344128362515026,-3.1345511113512194,0.46966356,0.0025183713453655198,0.0030527858767238655,0.02760962,-0.03416376,1.2610565,1.8422468,-3.0741057,0.5518632,0.035112273,0.021617632,0.027488936
1755748880.5602875,1.7353559163687873,-3.1339439324097937,0.4699717,0.0386966803135881,0.018737761433965668,0.013153818,-0.07262363,1.214966,1.8770574,-3.0520084,0.579352,0.034504842,0.02257454,0.027488936
1755748880.6107018,1.7380733206468053,-3.1321227761125865,0.4696476,0.09792999305826657,0.03339751282734631,-0.29361764,-0.13312499,1.2946639,1.9112476,-3.0289626,0.60684097,0.03387133,0.023514394,0.027488936
1755748880.6602285,1.745116195568937,-3.127360075491317,0.4734834,0.18172625735590084,0.1272536832875064,0.09613581,-0.07677499,1.4101868,1.9447916,-3.0049853,0.6343299,0.03321223,0.02443648,0.027488936
1755748880.7102072,1.7583226017861666,-3.1182094374790603,0.4780679,0.3250421577150043,0.2099678523159707,0.12547483,-0.15091445,1.4859757,1.9776638,-2.9800956,0.66181886,0.032528035,0.025340103,0.027488936
1755748880.7601736,1.7831757609541186,-3.1010331828036293,0.4879407,0.4773013395712447,0.349239144226906,0.2944717,-0.24751467,1.6240673,2.0098393,-2.9543118,0.6893078,0.03181926,0.026224576,0.027488936
1755748880.8102868,1.8050354088557263,-3.0865054954938813,0.49511105,0.5726032468510239,0.38273880687050027,0.2427525,-0.23489179,1.652622,2.041294,-2.9276533,0.7167967,0.031086447,0.027089236,0.027488936
1755748880.8604908,1.8437663561078423,-3.0594893658837554,0.5104294,0.7035295390022983,0.482422568323196,0.30880076,-0.21781363,1.8325721,2.0720043,-2.90014,0.74428564,0.03033014,0.027933428,0.027488936
1755748880.9107487,1.8746270247714645,-3.0402872865784136,0.50889456,0.7841367043661496,0.5378544180882636,0.25667518,-0.105758235,1.9452267,2.1019468,-2.8717933,0.7717746,0.029550917,0.028756512,0.027488936
1755748880.9601707,1.9254428548450242,-3.0100595906861534,0.49944228,0.9133139334188781,0.5018285645469694,-0.43471,-0.011414256,1.9212618,2.1310987,-2.8426342,0.7992636,0.028749365,0.02955787,0.027488936
1755748881.0100899,1.9709875735053572,-2.982770682105916,0.5025636,0.9351643692624924,0.5276087083389152,-0.086464465,0.008466318,1.8641262,2.1594384,-2.812685,0.82675254,0.027926091,0.030336894,0.027488936
1755748881.0604565,2.0084787844771896,-2.9601873958284544,0.5015588,0.936489377445178,0.5725410885898833,-0.042884164,0.21399997,1.63435,2.186944,-2.781968,0.8542415,0.027081719,0.031092996,0.027488936
1755748881.1103415,2.065286647149233,-2.9247729145109505,0.49598405,0.9649242777132505,0.536913936555297,-0.36132225,0.30479023,1.4287466,2.213595,-2.7505069,0.8817304,0.026216883,0.031825602,0.027488936
1755748881.1602798,2.112606933993869,-2.895705642075344,0.49333987,0.9256954415897456,0.554213923222572,-0.45050254,0.35665324,1.2965845,2.2393713,-2.718325,0.9092193,0.025332235,0.03253416,0.027488936
1755748881.2101812,2.157547803785178,-2.864441064053983,0.517607,0.8631171402385313,0.6391400384099482,0.5033747,0.34930038,1.4069406,2.2642531,-2.6854467,0.9367083,0.024428448,0.033218138,0.027488936
1755748881.2602909,2.198337672107641,-2.8300088199078157,0.56501997,0.7695658769911948,0.7006626747926108,0.74936193,0.34228867,1.379778,2.2882218,-2.651897,0.96419716,0.023506204,0.033877015,0.027488936
1755748881.3110447,2.232811548965649,-2.7914846064948136,0.6406848,0.6501010649815215,0.7622683780367275,1.5537033,0.32206443,1.4655108,2.3112597,-2.6177013,0.9916861,0.022566197,0.034510296,0.027488936
1755748881.3601968,2.262004307047981,-2.7500335929457993,0.7173867,0.5491225903370196,0.8467065736076466,1.5987159,0.2830773,1.4699429,2.3333488,-2.5828853,1.019175,0.02160914,0.0351175,0.027488936
1755748881.4109614,2.2872160995877575,-2.7076402032570344,0.79408103,0.4777793481585474,0.8481523943459474,1.3548363,0.34603244,1.1983532,2.3544724,-2.547475,1.046664,0.020635756,0.03569817,0.027488936
1755748881.4606206,2.308979480101152,-2.665365949818327,0.86741877,0.39672285153334835,0.8306559724753391,1.2985373,0.36951572,0.5396715,2.374615,-2.5114977,1.074153,0.019646777,0.03625187,0.027488936
1755748881.5105724,2.3264318905378447,-2.624569411050989,0.9317114,0.30175052662333895,0.8290024692714228,1.4401987,0.3693336,-0.06101375,2.3937612,-2.4749804,1.1016419,0.018642955,0.036778174,0.027488936
1755748881.5608602,2.3375653128989344,-2.592257332357073,0.973323,0.26601588781232693,0.7876780999959383,1.0201926,0.37318456,-0.35298383,2.4118962,-2.4379506,1.1291308,0.017625045,0.03727669,0.027488936
1755748881.6103175,2.351261384950329,-2.547502999944231,1.0406816,0.17549493649755107,0.721654812012159,1.1933558,0.3720848,-0.56336063,2.4290066,-2.4004364,1.1566198,0.01659382,0.03774704,0.027488936
1755748881.660268,2.3577007353570023,-2.5136037024904105,1.0942179,0.11451168598078007,0.6333175417107783,0.95806533,0.37322825,-0.69635415,2.4450798,-2.362466,1.1841087,0.015550056,0.038188867,0.027488936
1755748881.710701,2.361610964293363,-2.490590421390675,1.1359264,0.09123560418801466,0.5458715434926463,0.893049,0.37125304,-0.72383064,2.460103,-2.3240683,1.2115977,0.014494541,0.03860184,0.027488936
1755748881.760635,2.3640158231307247,-2.4612109908556086,1.1783636,0.03802783714594243,0.45188651369606153,0.5593476,0.36913505,-0.79813474,2.4740648,-2.2852721,1.2390865,0.013428075,0.038985644,0.027488936
1755748881.810561,2.365167250150264,-2.445647236527004,1.2039341,0.025536833636337665,0.3557628868142236,0.5937315,0.35545748,-0.71373504,2.4869556,-2.2461069,1.2665756,0.012351463,0.039339993,0.027488936
1755748881.8601933,2.3660260102060775,-2.427141301418041,1.2345555,0.0026262084281051135,0.26906523529842175,0.4046024,0.26307017,-0.26474974,2.498765,-2.206602,1.2940644,0.01126552,0.03966462,0.027488936
1755748881.9101772,2.3659613480749457,-2.4156287484481385,1.2545421,0.00511195400108183,0.19473187732483396,0.3270616,0.1182243,0.27686882,2.5094838,-2.1667876,1.3215533,0.010171062,0.039959267,0.027488936
