time,x,y,yaw,x_vel,y_vel,yaw_rate,cmd_angle,cmd_speed,x_ref,y_ref,yaw_ref,x_vel_ref,y_vel_ref,yaw_rate_ref
1755748183.7261822,0.4634612206588232,-3.2335506440786492,-0.10629931,0.0012439011973745698,0.0017816824723014065,-0.008740639,-0.092163086,-1.5458984,0.46346986,-3.2335536,-0.10614436,0.041001342,-0.0043684794,0.027488936
1755748183.7283144,0.4634612206588232,-3.2335506440786492,-0.10629931,0.0012439011973745698,0.0017816824723014065,-0.008740639,-0.1430664,-0.89990234,0.5045261,-3.237358,-0.07865541,0.041105922,-0.0032398873,0.027488936
1755748183.7789333,0.46347120918813856,-3.233573241835911,-0.10619837,0.00010984729075503189,0.001209581759440828,0.022628373,-0.16345215,-0.66259766,0.5456714,-3.2400327,-0.05116646,0.04117944,-0.002108847,0.027488936
1755748183.8289156,0.46346461908662495,-3.2335304632622583,-0.106135726,-0.0004183179941804366,0.0031139204123608747,-0.01379969,-0.1763916,-0.43725586,0.58687466,-3.2415752,-0.023677513,0.041221846,-0.0009762132,0.027488936
1755748183.8790443,0.46284939475880776,-3.2337394610214933,-0.107549794,-0.030370472533992006,-0.0020311197639119546,-0.05773661,-0.19580078,-0.36254883,0.62810475,-3.2419848,0.0038114346,0.041233107,0.00015715805,0.027488936
1755748183.9294052,0.459790944755971,-3.2336965086041936,-0.10815944,-0.08153534403581474,-0.002791248990998936,-0.017917803,-0.1887207,-0.15686035,0.6693305,-3.241261,0.03130038,0.041213207,0.0012904105,0.027488936
1755748183.9789214,0.4539823701451382,-3.233629023413456,-0.109996416,-0.14062715771362932,0.001448278913767691,-0.010871106,-0.15136719,0.15881348,0.7105208,-3.2394042,0.058789328,0.04116217,0.002422688,0.027488936
1755748184.0289106,0.44550730403305,-3.2336539255200547,-0.112517975,-0.19191738035624745,0.003039724052645564,-0.039368574,-0.089782715,0.45043945,0.7516443,-3.2364163,0.08627816,0.04108003,0.0035531302,0.027488936
1755748184.0788434,0.4356299148436242,-3.2332043718284624,-0.11339996,-0.17368843720318008,0.0074809777758883065,0.008161604,0.001039505,0.7998047,0.79267037,-3.2322989,0.1137671,0.040966853,0.0046808925,0.027488936
1755748184.1290517,0.4290612156465946,-3.2329850040650845,-0.11526008,-0.0924751200535935,-0.003728350658854229,0.00069042685,0.077819824,1.015625,0.83356774,-3.2270555,0.14125605,0.04082272,0.005805118,0.027488936
1755748184.1789453,0.4254327174294737,-3.232819122508755,-0.11580503,-0.02934569316023152,0.0010967124038722183,-0.053917784,0.12695312,1.3496094,0.87430555,-3.2206903,0.168745,0.04064774,0.006924957,0.027488936
1755748184.2289464,0.42765386994845234,-3.2328247904431713,-0.11570705,0.10004673066278848,-0.004080206038544453,0.034716584,0.18041992,1.5322266,0.914853,-3.2132075,0.19623394,0.040442046,0.008039563,0.027488936
1755748184.2788863,0.4342866443791214,-3.2329887027794526,-0.114610076,0.16531293943274697,0.005596750322059962,-0.0024428053,0.17602539,1.7763672,0.95517945,-3.2046132,0.22372289,0.040205795,0.009148095,0.027488936
1755748184.3290868,0.44929053768719523,-3.2329132042240314,-0.111117035,0.35792011719341693,-0.003487544880521647,0.12689282,0.17199707,1.8857422,0.9952545,-3.1949134,0.25121182,0.03993917,0.010249715,0.027488936
1755748184.3800228,0.472683944012203,-3.2321412164422028,-0.09961381,0.5217209660345412,0.02753734137909236,0.34033704,0.099121094,1.9453125,1.0350478,-3.1841164,0.2787008,0.03964236,0.011343591,0.027488936
1755748184.4292417,0.5032657227213296,-3.2307851348255254,-0.08495486,0.6778675152119468,0.04021549435998434,0.2779837,0.14624023,2.0117188,1.0745292,-3.1722293,0.30618963,0.0393156,0.01242889,0.027488936
1755748184.479229,0.5411339904976471,-3.2287171607365726,-0.06630474,0.8062939659546475,0.06053772560587924,0.49783117,0.13574219,1.9941406,1.1136689,-3.1592617,0.33367854,0.038959134,0.013504802,0.027488936
1755748184.528856,0.5848336146323365,-3.2251283393683825,-0.047884803,0.9220629495033733,0.08556639577675881,0.37195092,0.14929199,2.0214844,1.1524377,-3.1452231,0.36116752,0.038573228,0.014570511,0.027488936
1755748184.5789802,0.6334814201781508,-3.220801882392313,-0.028625993,1.005807437801624,0.10721568525064168,0.31432155,0.203125,1.9199219,1.1908057,-3.130124,0.38865647,0.03815818,0.01562521,0.027488936
1755748184.6288748,0.6851175790721706,-3.2147844439717206,-0.0035890944,1.0552648877754287,0.13493359147772885,0.66365635,0.11755371,1.8652344,1.2287444,-3.1139765,0.4161454,0.037714295,0.016668104,0.027488936
1755748184.6800475,0.7388630359266309,-3.2069301535895707,0.023246195,1.0843371356740708,0.1808639823666412,0.58729315,0.08660889,1.9189453,1.2662249,-3.0967922,0.44363433,0.037241917,0.017698402,0.027488936
1755748184.7288885,0.7933949943270391,-3.1967309605009517,0.05682722,1.0881951005259873,0.20268657699462406,0.6782171,0.07678223,1.9521484,1.3032188,-3.0785842,0.4711233,0.036741395,0.018715328,0.027488936
1755748184.7788913,0.8475471909301187,-3.1858107001349323,0.09300674,1.0904381785995052,0.2554967563968059,0.5499176,0.118652344,1.8046875,1.3396984,-3.0593662,0.49861223,0.03621312,0.019718112,0.027488936
1755748184.82883,0.9008649057650595,-3.1727894136681822,0.123213165,1.0475588805010385,0.25469470878933037,0.4592617,0.15844727,1.8046875,1.3756359,-3.039153,0.5261012,0.035657473,0.020705996,0.027488936
1755748184.8788676,0.952861760909095,-3.158706549993736,0.15461697,1.0239626279504161,0.2879774499851673,0.5641912,0.107543945,1.7841797,1.4110043,-3.0179596,0.55359006,0.03507489,0.021678235,0.027488936
1755748184.9288776,1.0022323152306472,-3.142726484116338,0.18591578,1.000038626317666,0.3268769302169647,0.6547889,0.073913574,1.8984375,1.4457769,-2.995802,0.58107907,0.0344658,0.022634096,0.027488936
