time,x,y,yaw,x_vel,y_vel,yaw_rate,cmd_angle,cmd_speed,x_ref,y_ref,yaw_ref,x_vel_ref,y_vel_ref,yaw_rate_ref
1755749059.8477116,-0.6775319684203156,-2.454201173323231,-1.6108079,-0.003729494034631188,-0.003470670110986342,0.027581535,-0.20092773,1.65625,-0.67750263,-2.4542105,-1.6108944,-0.0016529356,-0.04120026,0.027488936
1755749059.8566506,-0.6775163449142328,-2.454157330898668,-1.6112312,0.0015604546853576378,0.004378922148765797,-0.04226794,-0.17260742,1.2597656,-0.6785891,-2.4954283,-1.5834055,-0.00051990204,-0.041230127,0.027488936
1755749059.9080486,-0.6775282179870008,-2.4541567371011217,-1.6114271,-0.0013601633828130772,-0.0009197022423777183,-0.005095117,-0.15014648,1.1650391,-0.67854226,-2.5366602,-1.5559165,0.0006135244,-0.041228842,0.027488936
1755749059.9583697,-0.6775271910024373,-2.4544212695928342,-1.6116104,0.0014770479460403934,-0.0055383097539551725,-0.046333697,-0.12408447,1.1796875,-0.6773622,-2.5778756,-1.5284276,0.0017464875,-0.041196402,0.027488936
1755749060.0083213,-0.6776792403192285,-2.4564489343553544,-1.6138628,-0.003794267453447954,-0.06350030492294054,-0.048471272,-0.1385498,1.2304688,-0.67504966,-2.6190429,-1.5009387,0.0028781306,-0.041132834,0.027488936
1755749060.0588005,-0.6779618288920294,-2.46126639234145,-1.6156434,-0.0036545727980654974,-0.11878656929078071,-0.05317134,-0.1361084,1.3115234,-0.67160666,-2.660131,-1.4734497,0.0040075993,-0.04103819,0.027488936
1755749060.108376,-0.6784452259126171,-2.4689542812789855,-1.6182567,-0.020369151600050758,-0.22869287819953318,-0.11098234,-0.13879395,1.3574219,-0.6670356,-2.701109,-1.4459608,0.0051340396,-0.04091253,0.027488936
1755749060.1588132,-0.6796683932528453,-2.4889512064966195,-1.6284546,-0.025192934063485824,-0.4106635704347319,-0.22838122,-0.09820557,1.2558594,-0.6613399,-2.7419457,-1.4184718,0.006256601,-0.040755965,0.027488936
1755749060.20826,-0.6815473479690591,-2.5144973741205296,-1.6379158,-0.04658311959092845,-0.5779207085963495,-0.08663473,-0.017837524,1.1738281,-0.65452385,-2.7826104,-1.3909829,0.0073744347,-0.0405686,0.027488936
1755749060.2584584,-0.6843528318955769,-2.547976627820734,-1.650568,-0.05787041667412512,-0.7261947417349066,-0.388827,0.07739258,0.88427734,-0.64659286,-2.8230727,-1.3634939,0.0084866965,-0.040350582,0.027488936
1755749060.308404,-0.6878654435546773,-2.588279952517325,-1.661869,-0.07023178422491044,-0.8577325630659963,-0.35460117,0.18408203,0.6489258,-0.63755274,-2.8633015,-1.336005,0.009592545,-0.04010208,0.027488936
1755749060.3584552,-0.691120430928524,-2.634388827382538,-1.6685456,-0.04539490667639823,-0.9788293663512448,-0.06785463,0.27075195,0.4560547,-0.6274103,-2.9032664,-1.3085163,0.010691137,-0.039823275,0.027488936
1755749060.4084508,-0.6940531623103043,-2.684454692997599,-1.6753873,-0.0686467578049856,-1.0319624202349598,0.13710622,0.3371582,0.34545898,-0.616173,-2.942938,-1.2810271,0.011781669,-0.039514378,0.027488936
1755749060.4581897,-0.6962309878858062,-2.7358219740530325,-1.6623582,-0.012772050632980472,-1.0132236684638873,0.6161093,0.35620117,0.3203125,-0.6038499,-2.9822853,-1.2535384,0.01286328,-0.039175626,0.027488936
1755749060.508539,-0.6925246996327153,-2.785860076307076,-1.6248062,0.1107805596271137,-0.9841598525515995,0.7912954,0.35595703,0.15917969,-0.5904498,-3.021279,-1.2260494,0.013935181,-0.038807273,0.027488936
1755749060.5583544,-0.6846502334117412,-2.833459409842957,-1.5711117,0.1981781566651356,-0.9123408787627617,1.0807108,0.35180664,0.02861023,-0.57598305,-3.05989,-1.1985605,0.014996554,-0.038409594,0.027488936
1755749060.6084847,-0.6744615859043074,-2.8752520995250612,-1.5135701,0.20324841993836248,-0.8014492689626447,1.3438802,0.33154297,0.028778076,-0.56046045,-3.0980887,-1.1710715,0.016046595,-0.037982896,0.027488936
