time,x,y,yaw,x_vel,y_vel,yaw_rate,cmd_angle,cmd_speed,x_ref,y_ref,yaw_ref,x_vel_ref,y_vel_ref,yaw_rate_ref
1755749377.4780002,2.202250755721739,-2.3579536256308002,1.5262308,4.8296640704094806e-05,0.00033174192533900223,0.01065499,-0.3647461,1.6318359,2.2022448,-2.357933,1.5260181,0.001845742,0.041192073,0.027488936
1755749377.487273,2.2022436308963522,-2.3579381850296057,1.5260645,-0.0007087655911144393,0.0015360049178797632,-0.016531082,-0.31420898,0.72509766,2.203524,-2.3167207,1.5535071,0.0007128609,0.041227244,0.027488936
1755749377.5371048,2.202224043940699,-2.3579042784432866,1.5261998,-0.002382514990632915,-0.0019123403225653269,0.011278823,-0.22460938,0.45751953,2.2036703,-2.275489,1.580996,-0.00042055876,0.04123126,0.027488936
1755749377.587241,2.2021918547606334,-2.357962922108327,1.5253806,-0.0024362931863054237,-0.006297205808468079,-0.06433205,-0.19934082,0.33666992,2.202683,-2.2342687,1.608485,-0.0015536607,0.041204125,0.027488936
1755749377.6373184,2.2026749229851563,-2.3560865718110704,1.5213833,0.006571150296994452,0.0658360524670879,0.035357747,-0.14416504,0.112854004,2.2005634,-2.1930912,1.6359739,-0.0026855886,0.041145854,0.027488936
1755749377.6871753,2.202124187954488,-2.3510623639179618,1.5232344,-0.01347896404245875,0.12633105573673206,-0.05274458,-0.10797119,0.22033691,2.1973128,-2.1519873,1.6634629,-0.003815487,0.041056495,0.027488936
1755749377.7375863,2.2017864331488486,-2.343263313962154,1.52372,-0.002667900497680829,0.18127510859326695,0.022707913,-0.083984375,0.34228516,2.1929336,-2.1109884,1.6909517,-0.0049425033,0.040936116,0.027488936
1755749377.7873135,2.2016132367813275,-2.3329506280121968,1.5244399,-0.0021583667210430166,0.22822948717252994,-0.0334453,-0.033203125,0.53808594,2.187429,-2.0701253,1.7184407,-0.006065784,0.040784802,0.027488936
1755749377.8371875,2.201103984059292,-2.3199550515984124,1.526581,-0.010605535944865635,0.28246315087554363,0.053024486,0.039886475,0.73779297,2.1808033,-2.0294292,1.7459296,-0.0071844817,0.04060267,0.027488936
1755749377.8869832,2.2006410535583565,-2.303763292507238,1.5291369,-0.01256489575543344,0.3576017481401627,0.08004494,0.10131836,0.7998047,2.1730618,-1.9889303,1.7734185,-0.008297752,0.040389862,0.027488936
