time,x,y,yaw,x_vel,y_vel,yaw_rate,cmd_angle,cmd_speed,x_ref,y_ref,yaw_ref,x_vel_ref,y_vel_ref,yaw_rate_ref
1755749229.1252546,0.4182525417020109,-1.2267175328598925,-2.8554003,0.0001244609687983555,-0.0013778676709947845,-0.005783786,-0.3232422,1.5341797,0.41825742,-1.2266941,-2.8554618,-0.039556984,-0.011637822,0.027488936
1755749229.1357007,0.4182535345990944,-1.2267069321678201,-2.8553305,9.927323501539351e-05,0.0010598933292470685,0.0069845053,-0.2541504,1.15625,0.37886572,-1.2388741,-2.8279731,-0.03922217,-0.012720658,0.027488936
1755749229.1860495,0.4183590085427804,-1.2266599205629076,-2.855421,0.004995603907172764,0.0014982421352646483,0.0034495885,-0.22460938,0.85839844,0.339823,-1.2521323,-2.800484,-0.038857713,-0.013793902,0.027488936
1755749229.235906,0.4187012671114642,-1.2264442242361078,-2.857227,0.009567048457923956,0.009983576218881813,-0.09026494,-0.22094727,0.71191406,0.30116004,-1.2664584,-2.7729952,-0.038463905,-0.0148567045,0.027488936
1755749229.2855897,0.417724592469597,-1.2262761743054578,-2.8589,-0.035383749333478834,-0.011937099369557438,0.06888867,-0.22155762,0.5551758,0.26290482,-1.281842,-2.745506,-0.038041025,-0.0159083,0.027488936
1755749229.335882,0.4135290202513177,-1.2281549524641904,-2.8596106,-0.11907557045766229,-0.04706712503578812,-0.0032961215,-0.22167969,0.45166016,0.22508752,-1.298271,-2.7180173,-0.037589412,-0.016947856,0.027488936
1755749229.3865464,0.40461435972513,-1.2312101423567177,-2.8580847,-0.21179290201134432,-0.07407064873281095,0.06426171,-0.23425293,0.2932129,0.18773544,-1.3157334,-2.6905282,-0.037109386,-0.017974626,0.027488936
1755749229.4364529,0.3914960925559429,-1.2356694647793212,-2.85907,-0.28825750974392794,-0.09932182733334793,-0.022739956,-0.19824219,0.15661621,0.15087807,-1.3342156,-2.6630394,-0.03660133,-0.018987797,0.027488936
1755749229.4857633,0.3747987279667921,-1.241141200473364,-2.859805,-0.3540022427978329,-0.11667176738092602,-0.037168227,-0.17749023,0.37646484,0.11454195,-1.3537042,-2.6355503,-0.03606561,-0.019986637,0.027488936
1755749229.5358317,0.3558772782945267,-1.2472862944446106,-2.8601503,-0.3887702299292618,-0.1224025677395239,0.010124905,-0.15771484,0.5864258,0.078755856,-1.3741839,-2.6080616,-0.035502646,-0.02097036,0.027488936
1755749229.585675,0.33585715060069604,-1.2538676043567336,-2.8609705,-0.40572040921436786,-0.13537783385688412,0.009722551,-0.12573242,0.87646484,0.043545604,-1.3956398,-2.5805724,-0.034912847,-0.021938251,0.027488936
1755749229.6360407,0.3143104332401715,-1.2607688712288307,-2.8621526,-0.4456896100732236,-0.13498447811716616,-0.0049356683,-0.066467285,1.1435547,0.008938968,-1.4180549,-2.5530837,-0.034296677,-0.02288955,0.027488936
1755749229.6857572,0.29035176668663404,-1.2683733551744003,-2.8615472,-0.5044430183068166,-0.1626344558921664,-0.007549678,-0.015235901,1.3769531,-0.025039196,-1.4414132,-2.5255945,-0.033654585,-0.023823574,0.027488936
1755749229.735632,0.26291963588256306,-1.2776842357614446,-2.862408,-0.5719963914930078,-0.20022076729032454,-0.07523474,0.02357483,1.5283203,-0.05836177,-1.4656961,-2.4981058,-0.032987073,-0.024739577,0.027488936
1755749229.7863889,0.23143800730092254,-1.2882826289406248,-2.861177,-0.6720496369274108,-0.2177420837778639,0.079025604,0.12561035,1.6201172,-0.09100497,-1.4908861,-2.4706166,-0.032294627,-0.025636904,0.027488936
1755749229.836202,0.19584911056358176,-1.2997208987326208,-2.8605638,-0.7513294285346503,-0.2372136020339894,-0.021487802,0.23547363,1.5537109,-0.122942924,-1.5169634,-2.4431279,-0.031577792,-0.026514845,0.027488936
1755749229.8864746,0.1570765250480615,-1.3128291397785619,-2.8611953,-0.8086388061300278,-0.2736660533916077,0.041061047,0.2998047,1.3964844,-0.1541524,-1.543909,-2.415639,-0.030837085,-0.027372759,0.027488936
1755749229.9357924,0.11508909995335573,-1.3283317734657887,-2.854321,-0.8574156583663815,-0.3454814792761799,0.3274233,0.2927246,1.4072266,-0.1846093,-1.571702,-2.38815,-0.030073082,-0.028209988,0.027488936
1755749229.985866,0.07166233650901342,-1.3477349600119162,-2.827895,-0.8773316192338223,-0.4246125437092804,0.79923373,0.29760742,1.4238281,-0.21429098,-1.6003218,-2.360661,-0.029286357,-0.029025907,0.027488936
1755749230.03584,0.02859683027911985,-1.3728132222949874,-2.782615,-0.8420073008562752,-0.5322848969534164,0.99347675,0.27441406,1.40625,-0.24317467,-1.6297466,-2.3331718,-0.0284775,-0.029819889,0.027488936
1755749230.0858104,-0.013770606826144519,-1.4011179597905783,-2.730017,-0.8494551602429984,-0.5922199420500578,1.0268155,0.26757812,1.3613281,-0.2712388,-1.6599541,-2.3056831,-0.027647128,-0.03059134,0.027488936
1755749230.135769,-0.054632189480579116,-1.4326267798897412,-2.6752534,-0.8127287514998319,-0.6569156113744085,1.2225969,0.3166504,1.1699219,-0.29846203,-1.6909215,-2.2781942,-0.026795866,-0.03133968,0.027488936
1755749230.1857727,-0.09416015145302975,-1.466790191516456,-2.616749,-0.7781461280249579,-0.6988149110740335,1.0646011,0.33447266,0.8754883,-0.32482386,-1.7226256,-2.2507052,-0.025924355,-0.032064337,0.027488936
1755749230.235792,-0.13170094823717415,-1.503405905134319,-2.5569859,-0.7280524860612264,-0.7335809425737767,1.14106,0.35668945,0.5644531,-0.35030425,-1.7550422,-2.2232163,-0.025033256,-0.032764766,0.027488936
1755749230.2858472,-0.16674842486772826,-1.5412554566554573,-2.4941182,-0.6690172144068159,-0.7842804315725944,1.4028938,0.35229492,0.2163086,-0.374884,-1.7881469,-2.1957273,-0.024123244,-0.033440437,0.027488936
1755749230.336282,-0.19712501825232642,-1.5814299210057363,-2.4327018,-0.5885897542135086,-0.8017176965507425,1.1664547,0.3696289,-0.17993164,-0.39854467,-1.8219147,-2.1682384,-0.023195002,-0.034090843,0.027488936
1755749230.3878503,-0.2242002631953334,-1.6213863234217634,-2.372621,-0.49854414393891194,-0.7707531197480303,1.102287,0.3684082,-0.44628906,-0.42126822,-1.85632,-2.1407495,-0.022249237,-0.03471549,0.027488936
1755749230.4359088,-0.245225264950668,-1.6566073692461762,-2.3165226,-0.36684344846394984,-0.6628652066780467,1.0351089,0.34838867,-0.6513672,-0.44303763,-1.8913369,-2.1132603,-0.021286657,-0.035313908,0.027488936
1755749230.4858978,-0.26105893356928495,-1.6879183139490515,-2.2692978,-0.2807000818204446,-0.6073733029826326,0.7948368,0.30859375,-0.9375,-0.4638362,-1.926939,-2.0857716,-0.020307997,-0.03588564,0.027488936
