time,x,y,yaw,x_vel,y_vel,yaw_rate,cmd_angle,cmd_speed,x_ref,y_ref,yaw_ref,x_vel_ref,y_vel_ref,yaw_rate_ref
1755749174.6566403,1.6910330236014288,-3.012567953346036,0.8986926,-0.0018527642179952586,-0.0024500571312816768,-0.011684588,-0.34106445,1.0078125,1.691058,-3.012526,0.89863974,0.02567501,0.03226434,0.027488936
1755749174.665999,1.6910006975322154,-3.012547396641847,0.8989125,-0.0032299147507315043,0.002053958421248329,0.021963885,-0.3125,0.78271484,1.7162864,-2.9799128,0.9261287,0.02477851,0.03295784,0.027488936
1755749174.7165956,1.691018950358304,-3.01251533197326,0.8988008,-0.00208895814384179,0.0010412912406525653,0.0014487854,-0.3034668,0.6323242,1.7406088,-2.9466186,0.9536176,0.023863286,0.033626437,0.027488936
1755749174.766584,1.6911582222983688,-3.012398154201517,0.8971056,0.008658260534052085,0.0006756876617330381,-0.11313737,-0.30004883,0.59716797,1.764007,-2.9126682,0.9811065,0.022930032,0.034269627,0.027488936
1755749174.8165731,1.6922615896794102,-3.0120274484848784,0.89194024,0.034575038578312664,0.030353222194515514,-0.061708182,-0.29248047,0.5053711,1.7864631,-2.878088,1.0085955,0.021979455,0.034886923,0.027488936
1755749174.8666887,1.6949009605658287,-3.0085537604712993,0.8899312,0.07123135819452733,0.09810373902401487,-0.055316925,-0.27685547,0.51416016,1.8079603,-2.8429031,1.0360844,0.021012265,0.035477858,0.027488936
1755749174.916565,1.7000850948182622,-3.0015453379521992,0.8899036,0.13390256630483513,0.17221706661548444,0.17534228,-0.30444336,0.515625,1.8284824,-2.807141,1.0635734,0.020029202,0.03604199,0.027488936
1755749174.9668808,1.7085278460325954,-2.9911585464498653,0.8857685,0.19298049113659302,0.24160657798193436,-0.028438052,-0.25683594,0.5019531,1.8480138,-2.7708282,1.0910623,0.019031003,0.036578882,0.027488936
1755749175.0167215,1.7202315897515346,-2.9770402345503215,0.8807338,0.26056851050964297,0.3037039424429048,-0.097634055,-0.23693848,0.76220703,1.8665396,-2.7339926,1.1185511,0.018018426,0.037088137,0.027488936
1755749175.06654,1.7347328219847158,-2.960147640933485,0.87633777,0.307909009781154,0.35732151125135814,-0.06625293,-0.20788574,0.97753906,1.884046,-2.6966615,1.1460401,0.016992234,0.03756937,0.027488936
